time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	Temperature(°C)	Version()	Battery level(%)
2024-9-12 11:44:28:30	HC-06(3AA59A817180)	0.441	0.368	0.846	6.714	-28.687	0.122	19.46	-19.78	93.08	33.7	18217	75
2024-9-12 11:44:28:31	HC-06(3AA59A817180)	0.409	0.393	0.852	5.493	-28.381	-5.188	19.69	-20.26	92.78	33.7	18217	75
2024-9-12 11:44:28:32	HC-06(3AA59A817180)	0.409	0.372	0.861	7.324	-28.809	-6.165	19.82	-20.52	92.62	33.7	18217	75
2024-9-12 11:44:28:67	HC-06(3AA59A817180)	0.375	0.372	0.861	7.324	-28.809	-6.165	19.96	-20.76	92.46	33.7	18217	75
2024-9-12 11:44:28:67	HC-06(3AA59A817180)	0.375	0.339	0.881	8.728	-30.884	-5.188	20.12	-21.03	92.30	33.7	18217	75
2024-9-12 11:44:28:67	HC-06(3AA59A817180)	0.378	0.339	0.881	12.939	-29.602	-2.563	20.64	-21.83	91.87	33.7	18217	75
2024-9-12 11:44:28:68	HC-06(3AA59A817180)	0.378	0.366	0.873	18.494	-26.367	1.221	20.86	-22.08	91.79	33.7	18217	75
2024-9-12 11:44:28:178	HC-06(3AA59A817180)	0.382	0.366	0.873	18.494	-26.367	1.221	21.08	-22.32	91.70	33.7	18217	75
2024-9-12 11:44:28:178	HC-06(3AA59A817180)	0.382	0.381	0.867	22.217	-25.024	3.723	21.33	-22.56	91.64	33.7	18217	75
2024-9-12 11:44:28:183	HC-06(3AA59A817180)	0.463	0.381	0.867	22.217	-25.024	3.723	24.87	-28.04	91.24	33.7	18217	75
2024-9-12 11:44:28:184	HC-06(3AA59A817180)	0.463	0.371	0.758	16.479	-27.344	18.555	25.02	-28.33	91.29	33.7	18217	75
2024-9-12 11:44:28:268	HC-06(3AA59A817180)	0.434	0.371	0.758	16.479	-27.344	18.555	25.15	-28.65	91.35	33.7	18217	75
2024-9-12 11:44:28:329	HC-06(3AA59A817180)	0.434	0.401	0.742	15.808	-29.724	22.766	25.28	-28.98	91.43	33.7	18217	75
2024-9-12 11:44:28:331	HC-06(3AA59A817180)	0.466	0.401	0.742	15.808	-29.724	22.766	26.12	-32.73	92.43	33.7	18217	75
2024-9-12 11:44:28:332	HC-06(3AA59A817180)	0.397	0.352	0.786	13.428	-41.565	39.917	26.14	-34.28	93.08	33.7	18217	75
2024-9-12 11:44:28:334	HC-06(3AA59A817180)	0.333	0.212	0.478	-2.563	-108.643	119.385	18.91	-50.22	103.85	33.7	18217	75
2024-9-12 11:44:31:688	HC-06(3AA59A817180)	0.333	0.153	0.470	-9.216	-117.493	130.859	17.87	-51.56	105.14	33.7	18217	75
2024-9-12 11:44:31:689	HC-06(3AA59A817180)	0.361	0.153	0.470	-9.216	-117.493	130.859	16.66	-52.94	106.58	33.7	18217	75
2024-9-12 11:44:31:690	HC-06(3AA59A817180)	0.361	0.149	0.431	-7.996	-121.338	140.991	15.30	-54.33	108.19	33.7	18217	75
2024-9-12 11:44:31:693	HC-06(3AA59A817180)	0.103	0.149	0.431	-7.996	-121.338	140.991	-53.84	-67.71	178.29	33.7	18217	75
2024-9-12 11:44:31:719	HC-06(3AA59A817180)	0.103	-0.497	0.097	-38.696	-132.690	211.975	-59.61	-66.59	-176.12	33.7	18217	75
2024-9-12 11:44:31:720	HC-06(3AA59A817180)	0.299	-0.497	0.097	-38.696	-132.690	211.975	-64.68	-65.30	-171.08	33.7	18217	75
2024-9-12 11:44:31:721	HC-06(3AA59A817180)	0.704	-0.643	0.105	3.235	-123.718	200.684	-77.07	-59.21	-157.40	33.7	18217	75
2024-9-12 11:44:31:722	HC-06(3AA59A817180)	0.704	-0.506	-0.112	7.446	-94.177	150.024	-78.94	-57.77	-155.19	33.7	18217	75
2024-9-12 11:44:31:750	HC-06(3AA59A817180)	1.005	-0.506	-0.112	7.446	-94.177	150.024	-80.67	-56.43	-153.25	33.7	18217	75
2024-9-12 11:44:31:751	HC-06(3AA59A817180)	1.005	-0.848	0.143	45.166	-77.637	112.122	-81.93	-55.24	-151.63	33.7	18217	75
2024-9-12 11:44:31:752	HC-06(3AA59A817180)	1.735	-0.848	0.143	45.166	-77.637	112.122	-82.75	-54.22	-150.27	33.7	18217	75
